hostname,pl_name,ra,dec,st_rad,st_teff,st_mass
WASP-121,WASP-121 b,107.6002312,-39.0972705,1.461,6628.0,1.33
TOI-1533,TOI-1533 b,355.2467209,57.4852417,0.849,5146.0,0.88
TOI-1533,TOI-1533 c,355.2467209,57.4852417,0.849,5146.0,0.88
TOI-815,TOI-815 c,155.8719377,-43.8349248,0.77,4869.0,0.776
Kepler-9,Kepler-9 c,285.5739904,38.4008192,0.958,5774.0,1.022
Kepler-238,Kepler-238 c,287.8971066,40.6378141,1.43,5751.0,1.229
Kepler-55,Kepler-55 c,285.1683291,44.0264898,0.58,4362.0,0.62
Kepler-218,Kepler-218 b,295.4128785,46.2665801,1.063,5502.0,1.019
Kepler-424,Kepler-424 b,298.6249797,48.57745,0.94,5460.0,1.01
Kepler-720,Kepler-720 b,298.6356478,44.1709388,0.92,5618.0,0.95
HD 16175,HD 16175 b,39.2577379,42.0624526,1.72,5981.0,1.63
Kepler-1195,Kepler-1195 b,284.3510523,40.8529319,0.71,4965.0,0.74
EPIC 212737443,EPIC 212737443 c,204.2215065,-7.3180577,0.673,4684.0,0.69
Kepler-882,Kepler-882 b,294.6500256,43.3356106,0.87,5476.0,0.9
Kepler-1312,Kepler-1312 b,292.9712801,41.0357494,0.92,5719.0,0.99
Kepler-272,Kepler-272 b,299.1275257,47.5938319,0.929,5297.0,0.91
TOI-5293 A,TOI-5293 A b,355.828682,-2.0450945,0.52,3586.0,0.54
TOI-1710,TOI-1710 b,94.2838373,76.21102,0.968,5730.0,1.0258
HAT-P-6,HAT-P-6 b,354.7740917,42.4659866,1.62,6570.0,1.79
DMPP-2,DMPP-2 d,27.407731,-34.4590985,1.78,6500.0,1.41
DMPP-7,DMPP-7 b,203.5284651,0.4988127,1.53949,5996.82,1.09
Kepler-212,Kepler-212 b,287.6208165,43.1416239,1.455,5852.0,1.166
Kepler-55,Kepler-55 d,285.1683291,44.0264898,0.619,4503.0,0.631
Kepler-999,Kepler-999 b,299.6604865,46.1984679,1.65,6237.0,1.29
Kepler-167,Kepler-167 e,292.6585253,38.3455558,0.749,4884.0,0.777
TOI-1136,TOI-1136 g,192.1848981,64.8552755,0.968,5770.0,1.022
WASP-84,WASP-84 c,131.1069959,1.8598933,0.768,5280.0,0.853
TOI-1338 A,TOI-1338 c,92.1330955,-59.5409853,1.313,5723.2,1.0936
TOI-2194,TOI-2194 b,299.1563393,-31.3351812,0.6909,4756.0,0.74
Kepler-1143,Kepler-1143 c,287.302772,39.2896399,0.77,5053.0,0.81
HD 177830,HD 177830 c,286.3363574,25.9204327,2.62,4949.0,1.47
GJ 367,GJ 367 d,146.121464,-45.7790165,0.458,3522.0,0.455
TOI-6109,TOI-6109 b,50.1319206,42.6069564,1.021,5660.0,1.03
TOI-125,TOI-125 d,23.5934253,-66.6763495,0.848,5320.0,0.859
TOI-2031 A,TOI-2031 A b,331.1178077,81.5659509,1.241,6490.0,1.174
Kepler-431,Kepler-431 c,281.1123072,43.2277663,1.092,6004.0,1.071
TIC 279401253,TIC 279401253 b,57.6572277,-15.0262251,1.06,5951.0,1.13
Kepler-253,Kepler-253 c,291.8419337,44.858124,0.786,5208.0,0.86
Kepler-899,Kepler-899 b,297.4825612,40.6807412,0.91,5595.0,0.93
TOI-3474,TOI-3474 b,233.5033482,-47.9636597,1.256,6020.0,1.121
K2-108,K2-108 b,123.3818484,16.419516,1.76,5599.0,1.17
Kepler-914,Kepler-914 b,290.4120774,44.8993227,1.15,5877.0,1.1
Kepler-440,Kepler-440 b,285.3500664,41.4523695,0.559,4134.0,0.575
Kepler-60,Kepler-60 b,288.9612535,42.2650472,1.257,5905.0,1.041
Kepler-48,Kepler-48 e,299.1393094,40.948939,0.89,5194.0,0.88
2MASS J19383260+4603591,2MASS J19383260+4603591 b,294.6359173,46.0664076,0.203,29564.0,0.48
HD 126105,HD 126105 b,216.0016789,-19.801096,4.21,4875.0,1.2
TOI-5205,TOI-5205 b,313.7706819,24.360977,0.394,3430.0,0.392
HD 20329,HD 20329 b,49.178124,15.6563542,1.13,5596.0,0.9
WASP-124,WASP-124 b,332.7143373,-30.7497189,1.02,6050.0,1.07
Kepler-1518,Kepler-1518 c,300.3323404,44.9861065,1.345,6432.0,1.06
Kepler-382,Kepler-382 b,299.1362435,45.8699582,0.945,5600.0,1.002
Kepler-1106,Kepler-1106 b,291.1451576,44.0624715,1.17,6104.0,1.11
WASP-131,WASP-131 b,210.1935714,-30.5836084,1.561,5990.0,1.06
TRAPPIST-1,TRAPPIST-1 e,346.6263919,-5.0434618,0.1192,2566.0,0.0898
TRAPPIST-1,TRAPPIST-1 f,346.6263919,-5.0434618,0.1192,2566.0,0.0898
TRAPPIST-1,TRAPPIST-1 h,346.6263919,-5.0434618,0.1192,2566.0,0.0898
LHS 1140,LHS 1140 b,11.248632,-15.2741085,0.2159,3096.0,0.1844
HAT-P-23,HAT-P-23 b,306.1239076,16.7621462,1.203,5905.0,1.13
Kepler-190,Kepler-190 c,288.5839761,44.7337701,0.795,5106.0,0.834
Kepler-216,Kepler-216 c,293.7280695,46.1291139,1.26,6091.0,1.126
GJ 86,GJ 86 b,32.6224785,-50.8209945,0.77,5182.0,0.93
Kepler-267,Kepler-267 d,299.8305655,47.1575741,0.555,4258.0,0.541571
Kepler-858,Kepler-858 b,288.8488552,51.2090375,0.91,5653.0,0.96
K2-396,K2-396 c,74.6928607,17.2690562,0.92,5236.0,0.954
TOI-4638,TOI-4638.01,12.8206627,12.7879858,0.895,5700.0,1.02
K2-198,K2-198 b,198.8436817,-6.4649888,0.757,5212.9,0.799
Kepler-296,Kepler-296 c,286.5400278,49.4372614,0.48,3740.0,0.498
Kepler-1801,Kepler-1801 b,295.1640095,39.2014024,0.981,5738.0,0.936
HD 118203,HD 118203 b,203.509956,53.7281876,2.04,5742.0,1.27
NY Vir,NY Vir c,204.7005847,-2.0303873,0.151,32780.0,0.459
Kepler-204,Kepler-204 b,285.347162,41.761845,1.238,5812.0,1.038
TOI-201,TOI-201 c,87.4017825,-54.910423,1.31,6423.0,1.32
Kepler-122,Kepler-122 d,291.1118647,39.9490248,1.216,6050.0,0.982
Kepler-139,Kepler-139 b,282.3919451,43.8894167,1.3,5594.0,1.078
TOI-2364,TOI-2364 b,89.1300265,-5.0120298,0.886,5306.0,0.954
Kepler-1302,Kepler-1302 b,290.9892462,50.308064,0.82,5236.0,0.86
Kepler-977,Kepler-977 b,291.5161959,42.2480736,0.83,5315.0,0.87
K2-340,K2-340 b,127.9373409,19.0745863,1.13,5532.0,0.93
TOI-238,TOI-238 c,349.2310814,-18.6066463,0.733,5059.0,0.79
Kepler-1858,Kepler-1858 b,292.3074315,46.626579,0.819,4939.0,0.785
K2-365,K2-365 b,238.8197061,-21.0269691,1.051,5561.0,0.823
Kepler-55,Kepler-55 e,285.1683291,44.0264898,0.619,4503.0,0.631
Kepler-1074,Kepler-1074 b,284.4766869,46.2526781,0.57,4002.0,0.6
Kepler-1278,Kepler-1278 b,282.9569197,42.8255589,1.16,6074.0,1.11
Kepler-1582,Kepler-1582 b,289.3765441,41.1580845,0.3,3208.0,0.28
WASP-90,WASP-90 b,315.5319489,7.0562793,1.98,6430.0,1.55
K2-165,K2-165 b,184.9004881,0.968327,0.803827,5185.0,0.834847
TrES-5,TrES-5 b,305.2219454,59.4489033,0.868,5171.0,0.901
K2-205,K2-205 b,15.2175909,0.425966,1.077574,5890.0,0.951027
Kepler-1987,Kepler-1987 e,295.8254663,42.9433716,0.714,4769.0,0.799
Kepler-2000,Kepler-2000 c,285.5743032,49.9621218,0.576,3757.0,0.581
TrES-1,TrES-1 b,286.0408755,36.632536,0.85,5230.0,1.04
Kepler-111,Kepler-111 b,291.653163,44.6882613,1.157,5952.0,1.171
TOI-813,TOI-813 b,72.6940102,-60.9054608,1.94,5907.0,1.32
HIP 54373,HIP 54373 b,166.8643532,-19.2916857,0.564998,4021.0,0.57
Kepler-1028,Kepler-1028 b,289.5931004,49.7812447,0.87,5522.0,0.9
HD 72490,HD 72490 b,128.4028287,13.5507189,4.96,4934.0,1.21
GJ 433,GJ 433 c,173.8619194,-32.5436302,0.5,3461.0,0.48
HD 80653,HD 80653 b,140.3390845,14.3678691,1.22,5959.0,1.18
Kepler-1049,Kepler-1049 b,287.3469567,47.7729078,0.49,3864.0,0.51
K2-127,K2-127 b,207.0782895,-11.5889878,0.66,4575.0,0.72
WTS-1,WTS-1 b,293.9850284,36.2962939,1.15,6250.0,1.2
Kepler-1351,Kepler-1351 b,293.6084289,42.1978746,0.67,4439.0,0.7
Kepler-593,Kepler-593 b,294.9513923,48.6511709,1.1,5967.0,1.08
KOI-351,Kepler-90 i,284.4334642,49.3051239,1.29,6015.0,1.12
Kepler-307,Kepler-307 c,297.7950939,40.4176403,0.814,5367.0,0.907
Kepler-1155,Kepler-1155 b,288.8206058,39.5228712,1.03,5842.0,1.03
Kepler-436,Kepler-436 c,301.7207775,44.4120856,0.71,4685.0,0.75
Kepler-721,Kepler-721 b,284.4305132,44.4803776,0.78,5075.0,0.82
K2-173,K2-173 b,60.3752402,15.6251296,0.843154,5580.0,0.881538
Kepler-762,Kepler-762 b,291.2756631,47.3295107,1.08,5944.0,1.06
Kepler-135,Kepler-135 c,290.4950939,38.7954956,1.275,6090.0,1.047
HAT-P-15,HAT-P-15 b,66.248142,39.460602,1.07,5568.0,1.0
HD 96700,HD 96700 c,166.9742616,-30.1751383,1.16,5845.0,0.89
Kepler-250,Kepler-250 b,289.5947633,44.1418114,0.805,5160.0,0.806
K2-138,K2-138 g,348.9490311,-10.8497391,0.863,5356.3,0.935
CoRoT-4,CoRoT-4 b,102.1946233,-0.6727861,1.17,6190.0,1.16
Kepler-2001,Kepler-2001 b,291.6594558,50.5838585,0.77,5081.0,0.864
Kepler-1817,Kepler-1817 b,282.0333419,44.4779955,0.915,5316.0,0.878
K2-19,K2-19 b,174.9602543,0.603596,0.82,5322.0,0.88
HD 102329,HD 102329 b,176.6941567,3.4742143,9.82,4745.0,3.21
HD 20794,HD 20794 d,49.9997666,-43.0666533,0.93,5368.0,0.79
Kepler-395,Kepler-395 c,293.5111889,45.1366252,0.556,4262.0,0.622827
Kepler-1609,Kepler-1609 b,290.1465356,39.6658026,1.27,6132.0,1.18
Kepler-281,Kepler-281 b,294.1081465,44.7706524,0.899,5723.0,0.95
Kepler-1634,Kepler-1634 b,294.043399,45.1398201,0.89,5474.0,0.92
TOI-2427,TOI-2427 b,52.2917315,-31.3628665,0.65,4072.0,0.64
Kepler-1701,Kepler-1701 b,286.6088625,41.8892986,0.840217,5146.0,0.87
HAT-P-67,HAT-P-67 b,256.6107279,44.7768849,2.62,6640.0,1.73
TOI-1288,TOI-1288 b,313.1670294,65.6087833,0.9583,5388.0,0.9552
Kepler-1335,Kepler-1335 b,284.8384394,42.0703371,0.74,4903.0,0.77
Kepler-266,Kepler-266 c,294.4843821,44.1669355,1.028,5885.0,0.947
rho CrB,rho CrB b,240.2600639,33.3001861,1.3617,5817.0,1.0
K2-413,K2-413 c,353.4175668,-7.6120272,0.7,4116.0,0.808
HD 38801,HD 38801 b,86.9963141,-8.3280256,2.029,5338.0,1.207
Kepler-129,Kepler-129 d,285.3111845,47.8484775,1.653,5770.0,1.178
TOI-1630,TOI-1630.01,352.0166759,75.5526069,0.83,5504.0,0.95
TOI-7009,TOI-7009 b,299.5131334,55.6510291,0.564,4080.0,0.583
Kepler-32,Kepler-32 e,297.8423073,46.5743595,0.53,3900.0,0.58
TOI-6716,TOI-6716 b,111.657082,-30.5521801,0.231,3110.0,0.223
Kepler-1882,Kepler-1882 b,290.6640856,43.4997866,1.458,5691.0,1.068
Kepler-387,Kepler-387 c,287.7982699,45.6567655,1.046,5774.0,0.85
Kepler-680,Kepler-680 b,291.622381,50.6181793,1.11,5890.0,1.08
Kepler-175,Kepler-175 b,289.553232,43.876116,1.01,6064.0,0.969
Kepler-375,Kepler-375 c,288.6178715,48.0983639,0.837,5826.0,0.891
Kepler-1044,Kepler-1044 b,293.1444017,46.6662155,1.11,5985.0,1.08
Kepler-1312,Kepler-1312 c,292.9712801,41.0357494,0.905,5721.0,0.983
K2-264,K2-264 c,131.3583524,19.698401,0.473,3660.0,0.496
Kepler-53,Kepler-53 b,290.4617926,40.5624966,0.89,5858.0,0.98
HD 134606,HD 134606 c,228.8103897,-70.5203328,1.158,5576.0,1.046
HD 10180,HD 10180 e,24.4731133,-60.5114881,1.109,5911.0,1.06
Kepler-1027,Kepler-1027 b,287.5711746,42.8138159,0.82,5436.0,0.91
Kepler-338,Kepler-338 e,282.9790593,40.7844188,1.735,5999.0,1.14
tau Cet,tau Cet h,26.0093029,-15.9337987,0.83,5310.0,0.783
Kepler-1714,Kepler-1714 b,293.7164655,46.2266878,2.086,6150.0,1.448
Kepler-1241,Kepler-1241 b,294.5762033,38.4569588,0.8,5261.0,0.84
TOI-1898,TOI-1898 b,144.5553,23.5467464,1.6131,6241.0,1.2484
BD+15 2940,BD+15 2940 b,240.09564,15.5467507,14.7,4796.0,1.1
Kepler-11,Kepler-11 d,297.1150949,41.9091092,1.065,5663.0,0.961
Kepler-10,Kepler-10 b,285.679298,50.2414842,1.065,5708.0,0.91
Kepler-177,Kepler-177 c,286.0471442,45.0532038,1.324,5732.0,0.921
EPIC 206024342,EPIC 206024342 c,331.2771441,-14.1218019,1.1,5724.0,0.928
51 Peg,51 Peg b,344.3675399,20.7690958,1.19,5761.0,1.07
TIC 52059926,TIC 52059926 b,16.7726869,-68.3681031,0.72,4505.0,0.73
TRAPPIST-1,TRAPPIST-1 b,346.6263919,-5.0434618,0.1192,2566.0,0.0898
55 Cnc,55 Cnc f,133.1468373,28.3298154,0.98,5198.0,1.015
55 Cnc,55 Cnc c,133.1468373,28.3298154,0.98,5198.0,1.015
GJ 3470,GJ 3470 b,119.7735021,15.391209,0.547,3600.0,0.539
HD 3167,HD 3167 d,8.7401487,4.3807215,0.88,5261.0,0.837
HIP 107772,HIP 107772 b,327.4977057,-41.2440371,0.513922,4006.0,0.63
Kepler-48,Kepler-48 d,299.1393094,40.948939,0.89,5194.0,0.88
TOI-907,TOI-907.01,262.1834072,-62.840383,2.059789,6272.0,1.069357
Kepler-1921,Kepler-1921 b,300.3161723,45.4953271,2.0,6120.0,1.251
Kepler-1210,Kepler-1210 b,292.8321598,48.2193376,0.92,5568.0,0.94
Kepler-410 A,Kepler-410 A b,283.1510448,45.1400838,1.352,6273.0,1.214
Kepler-841,Kepler-841 b,284.2513637,48.8095962,0.81,5324.0,0.85
K2-16,EPIC 201754305 d,175.0972238,4.5574311,0.544,4761.0,0.67
K2-137,K2-137 b,186.870426,-6.1952168,0.29,3697.0,0.463
Kepler-1416,Kepler-1416 b,298.6634624,43.8940593,1.15,6019.0,1.09
Kepler-100,Kepler-100 d,291.3861294,41.9901394,1.49,5825.0,1.08
WASP-162,WASP-162 b,168.2929079,-17.6577794,1.11,5300.0,0.95
KOBE-1,KOBE-1 b,19.1660378,25.3310358,0.619,4135.0,0.629
Kepler-1766,Kepler-1766 b,294.2772343,46.6752351,1.042,5868.0,0.915
UCAC3 113-933,UCAC3 113-933 b,5.2758121,-33.8031679,0.564484,3864.0,0.61
HD 127195,HD 127195 c,217.8714193,-47.7292571,4.16,4981.0,1.34
K2-287,K2-287 b,233.0743401,-22.3583447,1.07,5695.0,1.056
K2-162,K2-162 b,186.0383865,-1.111479,0.69,4842.0,0.75
HD 103197,HD 103197 b,178.2201971,-50.2927911,0.88,5250.0,0.8
HD 63765,HD 63765 b,116.9582617,-54.265345,0.83,5449.0,0.65
KMT-2023-BLG-1592L,KMT-2023-BLG-1592L b,268.6786667,-29.0084194,,,0.55
TOI-500,TOI-500 b,106.559098,-47.5878156,0.678,4440.0,0.74
HD 206893,HD 206893 b,326.3416874,-12.7833522,1.31116,6500.0,1.31
HD 207897,HD 207897 b,325.2016451,84.3337613,0.7827,5106.0,0.8208
TOI-4153,TOI-4153 b,335.3934698,82.2160792,1.605,6860.0,1.572
TOI-6707,TOI-6707 b,109.7634707,-58.1155263,1.58202,6289.49,1.14
TOI-262,TOI-262 b,32.534687,-31.0706272,0.853,5310.0,0.913
Kepler-1072,Kepler-1072 b,292.0443891,46.3289723,1.32,6199.0,1.2
HIP 107773,HIP 107773 b,327.5005089,-64.7126993,11.6,4945.0,2.42
Kepler-1925,Kepler-1925 b,289.8287452,45.1026883,1.092,5856.0,1.057
ups And,ups And d,24.1983534,41.4038147,1.56,6156.77,1.3
TOI-4791,TOI-4791 b,109.3883818,-19.8289392,1.409,6058.0,1.242
Kepler-1751,Kepler-1751 b,284.8465476,49.6923412,0.967,6052.0,0.974
HATS-56,HATS-56 b,180.165072,-45.7994559,2.201,6536.0,1.573
Kepler-1769,Kepler-1769 b,294.7433755,43.4611633,1.295,6071.0,1.061
GJ 338 B,GJ 338 B b,138.5916722,52.6835211,0.58,4014.0,0.64
TOI-4582,TOI-4582 b,256.8601374,68.8656263,2.5,5190.0,1.34
HATS-25,HATS-25 b,207.9076746,-23.7812403,1.107,5715.0,0.994
Kepler-351,Kepler-351 d,286.4527949,42.6577891,0.78,5225.0,0.81
Kepler-311,Kepler-311 d,282.0612731,47.0854984,1.156,5903.0,0.974
Kepler-309,Kepler-309 b,297.5098911,46.9614121,0.721,4713.0,0.816
Kepler-176,Kepler-176 d,294.6679021,43.8532104,0.891,5232.0,0.86
HD 20868,HD 20868 b,50.1794053,-33.72969,0.76,4802.0,0.39
Kepler-277,Kepler-277 c,286.5831894,39.0772582,1.69,5946.0,1.12
Kepler-150,Kepler-150 f,288.2341025,40.520897,0.905339,5528.0,0.97
Kepler-279,Kepler-279 d,287.391295,42.194822,1.07,6689.45,1.1
HAT-P-42,HAT-P-42 b,135.3443583,6.0970828,1.53,5743.0,1.178
Kepler-262,Kepler-262 b,290.7287168,37.2526575,0.881,5841.0,0.816
TOI-2211,TOI-2211.01,308.5390859,-29.6726127,0.834,5253.0,0.9
TOI-5777,TOI-5777 b,141.002239,82.8586961,0.671912,4408.03,0.658
Kepler-173,Kepler-173 b,294.6466171,41.8840952,0.949,6031.0,1.067
Kepler-335,Kepler-335 b,296.0642944,45.4285986,1.854,5877.0,1.367
TOI-5605,TOI-5605 b,150.5380078,50.1453867,0.736044,4583.79,0.68
TOI-1221,TOI-1221 b,107.9210254,-65.5088568,1.031,5592.0,0.93
Kepler-881,Kepler-881 b,288.9925529,46.6706513,1.09,5961.0,1.06
Kepler-324,Kepler-324 c,286.4714473,49.6490933,0.84,5194.0,0.901
Kepler-1226,Kepler-1226 b,296.3768521,50.6214592,1.02,5923.0,1.02
Kepler-1048,Kepler-1048 b,281.8983042,42.1657112,0.7,4651.0,0.75
HD 69830,HD 69830 c,124.6010091,-12.6364246,0.886947,5385.0,0.86
HATS-38,HATS-38 b,154.2710615,-25.2762982,1.105,5732.0,0.89
HD 154857,HD 154857 b,257.816194,-56.681038,2.3,5589.0,1.96
Kepler-1530,Kepler-1530 c,288.1624396,48.165153,0.88,5477.0,0.92
Kepler-1047,Kepler-1047 c,288.6462564,50.7889645,1.13,5754.0,1.08
Kepler-1274,Kepler-1274 b,284.5936858,46.4497364,2.17,6179.0,1.45
K2-31,K2-31 b,245.4405531,-23.548273,0.78,5280.0,0.91
GJ 1265,GJ 1265 b,333.4324675,-17.6870623,0.192,3236.0,0.178
G 9-40,G 9-40 b,134.7188514,21.0747961,0.3026,3395.0,0.2952
K2-379,K2-379 b,283.0317641,-27.1807287,0.751,4603.0,0.856
KIC 10001893,KIC 10001893 c,287.3892308,46.9844491,0.18,27500.0,0.47
K2-168,EPIC 205950854 c,333.1100738,-16.3418863,0.83,5502.7,0.877
HD 147873,HD 147873 c,246.4380471,-33.5672217,2.29,5972.0,1.38
Kepler-290,Kepler-290 b,286.4100307,42.6815137,0.743,5147.0,0.756
Kepler-857,Kepler-857 b,294.6323978,43.4004526,0.99,5773.0,0.99
Kepler-872,Kepler-872 b,295.4174725,43.6056117,1.08,5902.0,1.05
Kepler-1430,Kepler-1430 b,289.6975391,43.3719581,0.72,4796.0,0.77
Kepler-1311,Kepler-1311 b,289.6512597,43.8244445,1.4,5748.0,1.05
Kepler-126,Kepler-126 d,289.3473634,44.2084445,1.358,6239.0,1.108
Kepler-445,Kepler-445 c,298.7363395,46.4991236,0.21,3157.0,0.18
GJ 3293,GJ 3293 e,67.1484425,-25.1713396,0.404,3466.0,0.42
HD 147018,HD 147018 c,245.7490012,-61.6901291,0.937948,5441.0,0.927
Kepler-1350,Kepler-1350 b,288.250611,46.6794847,0.53,3827.0,0.55
Kepler-1174,Kepler-1174 b,281.8314296,42.298891,1.04,5936.0,1.04
TOI-1774,HD 85426 c,148.1619305,35.111008,1.1303,5746.0,0.991
Kepler-675,Kepler-675 b,293.8334488,50.2303479,0.75,4945.0,0.79
Kepler-1061,Kepler-1061 b,296.2300306,50.2752091,1.07,6067.0,1.09
Kepler-865,Kepler-865 c,297.7242257,43.5272796,0.885,5440.0,0.782
nu Oph,nu Oph c,269.7566013,-9.7741342,12.24,4887.0,2.61
TOI-1751,TOI-1751 b,243.4888534,63.5335297,1.3137,5970.0,0.9382
Kepler-851,Kepler-851 b,294.6802199,49.1401106,0.85,5455.0,0.89
Kepler-605,Kepler-605 b,287.2954015,43.2798677,0.88,5462.0,0.91
Kepler-234,Kepler-234 b,291.6535379,38.4946597,1.113,6224.0,1.129
Kepler-360,Kepler-360 b,286.2847077,44.7815817,1.058,6053.0,0.994
K2-419 A,K2-419 A b,135.0194934,13.2737056,0.541,3711.0,0.562
Kepler-172,Kepler-172 e,283.3684093,41.821839,1.085,5526.0,1.081
Kepler-275,Kepler-275 d,292.4797004,38.5149018,1.383,6165.0,1.189
K2-146,K2-146 c,130.0266951,19.0923416,0.33,3385.0,0.331
Kepler-1144,Kepler-1144 b,290.0432936,47.2578857,0.96,5753.0,0.98
Kepler-1088,Kepler-1088 b,281.5614578,42.4504087,1.08,5975.0,1.08
GJ 163,GJ 163 d,62.3228353,-53.3711768,0.409738,3500.0,0.4
WASP-168,WASP-168 b,96.7446427,-46.8213635,1.12,6000.0,1.08
DH Tau,DH Tau b,67.4231674,26.5493897,0.27,4371.0,0.33
HD 4313,HD 4313 b,11.4181301,7.8450492,5.14,4943.0,1.63
HD 93083,HD 93083 b,161.0866672,-33.5776794,0.837,5033.8,0.836
K2-181,K2-181 b,127.5541103,10.9101444,1.06,5528.0,0.96
Kepler-1787,Kepler-1787 b,289.0643042,47.1174041,0.925,6060.0,1.008
Kepler-1939,Kepler-1939 b,285.6899312,40.9946659,0.603,4353.0,0.648
K2-384,K2-384 d,20.4998403,0.7509701,0.348,3623.0,0.33
Kepler-157,Kepler-157 b,291.0972257,38.8756049,1.044,5774.0,0.95
WASP-130,WASP-130 b,203.1060194,-42.4752733,0.96,5625.0,1.04
Kepler-1469,Kepler-1469 b,293.8213286,39.3913385,0.89,5507.0,0.92
Kepler-1183,Kepler-1183 b,292.2324228,38.8921946,0.99,5765.0,1.0
Kepler-1900,Kepler-1900 b,291.8863206,44.4790319,1.041,6173.0,1.104
WASP-114,WASP-114 b,327.6656953,10.4629385,1.43,5940.0,1.289
Kepler-1777,Kepler-1777 b,290.3286455,37.7231188,1.068,5771.0,0.984
Kepler-976,Kepler-976 b,289.8696232,46.7296855,0.83,5232.0,0.87
Kepler-1776,Kepler-1776 b,291.5344017,47.0424958,1.153,5872.0,1.041
WASP-123,WASP-123 b,289.4792124,-32.8601244,1.285,5740.0,1.166
G 192-15,G 192-15 b,90.6220931,49.861939,0.170718,2999.0,0.132
Kepler-848,Kepler-848 b,293.2882949,48.8116114,1.2,5695.0,1.01
Kepler-388,Kepler-388 c,284.8280577,44.6086451,0.586,4498.0,0.635
WASP-141,WASP-141 b,71.8244347,-17.1151736,1.37,5900.0,1.25
Kepler-33,Kepler-33 b,289.0775348,46.0051696,1.82,5904.0,1.291
Kepler-1602,Kepler-1602 b,293.5808607,40.4275396,1.36,6296.0,1.22
Kepler-644,Kepler-644 b,295.4757022,43.4931119,1.81,6747.0,1.49
WASP-101,WASP-101 b,98.3511016,-23.486086,1.31,6380.0,1.41
K2-24,K2-24 c,242.5734559,-24.9906029,1.16,5625.0,1.07
Kepler-1260,Kepler-1260 b,295.5912652,42.5552261,1.08,5961.0,1.06
Kepler-598,Kepler-598 c,293.1234493,40.9348005,0.900316,5245.0,0.9
Kepler-169,Kepler-169 c,285.9999204,40.9193822,0.763,4997.0,0.825
Kepler-403,Kepler-403 d,289.9214256,46.7445267,1.45,6209.0,1.25
Kepler-725,Kepler-725 c,283.9774949,44.8115613,0.88,5395.0,0.95
Kepler-82,Kepler-82 d,292.8733696,42.9661583,0.945,5428.0,0.946
Kepler-883,Kepler-883 b,286.433726,50.3002266,1.09,6116.0,1.06
HD 108863,HD 108863 b,187.5826081,21.9480993,5.74,4878.0,1.59
Kepler-1747,Kepler-1747 b,284.2096557,45.258082,0.865,5477.0,0.983
Kepler-411,Kepler-411 d,287.6057027,49.5233937,0.82,4974.0,0.87
HD 87816,HD 87816 c,151.5296524,-52.1878679,9.0,4989.0,2.41
Kepler-226,Kepler-226 d,292.3760942,47.8809596,0.802,5571.0,0.904
KMT-2023-BLG-0332L,KMT-2023-BLG-0332L b,270.890125,-27.2223889,,,0.54
HD 80606,HD 80606 b,140.6569501,50.6037764,1.05,5565.0,1.05
WASP-126,WASP-126 c,63.374706,-69.2265926,1.27,5800.0,1.12
TOI-1752,TOI-1752 b,253.4614861,60.7096197,0.53,3762.0,0.524
TOI-5624,TOI-5624 f,180.8443476,49.2512257,0.82,5327.0,0.858
WASP-15,WASP-15 b,208.9280111,-32.1597118,1.48,6300.0,1.18
WASP-18,WASP-18 b,24.3544618,-45.6777937,1.319,6432.0,1.294
WASP-19,WASP-19 b,148.4167672,-45.6591078,1.006,5616.0,0.965
HD 86226,HD 86226 b,149.1235154,-24.0991859,1.053,5863.0,1.019
Qatar-6,Qatar-6 b,222.2100773,22.1526136,0.722,5052.0,0.822
Kepler-1392,Kepler-1392 b,288.7669819,46.3944497,0.85,5479.0,0.88
WASP-47,WASP-47 b,331.203092,-12.019067,1.156,5565.0,1.058
TOI-2134,TOI-2134 b,271.9355015,39.0729269,0.709,4580.0,0.744
TOI-4010,TOI-4010 e,20.2148196,66.0722009,0.83,4960.0,0.88
KELT-20,KELT-20 b,294.6614126,31.2192001,1.565,8720.0,1.76
K2-18,K2-18 c,172.560141,7.5878315,0.411,3457.0,0.359
TOI-3362,TOI-3362 b,155.9841428,-56.8431169,1.83,6532.0,1.445
WASP-32,WASP-32 b,3.9617073,1.2005122,0.95,6140.0,0.72
K2-370,K2-370 b,67.8205302,19.8316901,0.945,5662.0,0.962
Kepler-1001,Kepler-1001 c,286.2739151,48.6186972,0.836475,5376.0,0.93
EPIC 211945201,EPIC 211945201 b,136.5741931,19.4020565,1.39,6069.0,1.17
HD 86081,HD 86081 b,149.0243714,-3.8083543,1.46,5939.0,1.21
Kepler-1498,Kepler-1498 b,284.7780883,44.9167513,0.81,5256.0,0.86
Kepler-945,Kepler-945 b,291.2697354,42.0960305,0.97,5718.0,0.97
K2-90,K2-90 b,59.1527391,22.4724517,0.619,4484.0,0.629
Kepler-1764,Kepler-1764 b,293.8799047,41.3938374,1.131,6461.0,1.162
K2-366,K2-366 b,243.6800912,-19.3468837,0.94,5601.0,0.825
Kepler-958,Kepler-958 b,287.2566578,46.0667247,0.86,5421.0,0.91
LTT 3780,LTT 3780 b,154.6449033,-11.717801,0.38,3358.0,0.381
WASP-139,WASP-139 b,49.562173,-41.3020235,0.8,5310.0,0.92
TOI-1338 A,TOI-1338 b,92.1330955,-59.5409853,1.313,5723.2,1.0936
